composition,income,cum_sum,perc_sum
1 adult,7418,3629,0.07
1 adult,7455,3653,0.07
1 adult,7456,3658,0.07
1 adult,7576,3697,0.07
1 adult,7662,3706,0.07
1 adult,7756,3714,0.07
1 adult,7830,3729,0.08
1 adult,7900,3747,0.08
1 adult,7966,3760,0.08
1 adult,8076,3767,0.08
1 adult,8102,3784,0.08
1 adult,8170,3794,0.08
1 adult,8207,3815,0.08
1 adult,8273,3860,0.08
1 adult,8273,3870,0.08
1 adult,8273,3883,0.08
1 adult,8283,3892,0.08
1 adult,8283,3905,0.08
1 adult,8283,3917,0.08
1 adult,8283,3941,0.08
1 adult,8400,3969,0.08
1 adult,8400,4002,0.08
1 adult,8400,4020,0.08
1 adult,8400,4037,0.08
1 adult,8418,4056,0.08
1 adult,8477,4064,0.08
1 adult,8500,4076,0.08
1 adult,8579,4082,0.08
1 adult,8579,4093,0.08
1 adult,8579,4109,0.08
1 adult,8579,4121,0.08
1 adult,8579,4156,0.08
1 adult,8579,4165,0.08
1 adult,8584,4172,0.09
1 adult,8594,4198,0.09
1 adult,8600,4251,0.09
1 adult,8618,4286,0.09
1 adult,8687,4340,0.09
1 adult,8687,4361,0.09
1 adult,8697,4423,0.09
1 adult,8697,4433,0.09
1 adult,8697,4504,0.09
1 adult,8697,4539,0.09
1 adult,8697,4555,0.09
1 adult,8700,4566,0.09
1 adult,8783,4618,0.09
1 adult,8783,4630,0.09
1 adult,8800,4637,0.09
1 adult,8800,4665,0.09
1 adult,8800,4688,0.09
1 adult,8800,4734,0.09
1 adult,8801,4745,0.09
1 adult,8801,4787,0.09
1 adult,8820,4797,0.09
1 adult,8824,4805,0.09
1 adult,8839,4821,0.09
1 adult,8839,4838,0.09
1 adult,8894,4845,0.09
1 adult,8905,4872,0.09
1 adult,8944,4888,0.09
1 adult,8944,4902,0.1
1 adult,8944,4909,0.1
1 adult,8944,4933,0.1
1 adult,8944,4941,0.1
1 adult,8944,4955,0.1
1 adult,8987,4965,0.1
1 adult,8987,4999,0.1
1 adult,8987,5040,0.1
1 adult,8997,5058,0.1
1 adult,9000,5067,0.1
1 adult,9008,5075,0.1
1 adult,9008,5082,0.1
1 adult,9020,5093,0.1
1 adult,9100,5099,0.1
1 adult,9101,5112,0.1
1 adult,9101,5124,0.1
1 adult,9101,5149,0.1
1 adult,9112,5164,0.1
1 adult,9112,5177,0.1
1 adult,9192,5209,0.1
1 adult,9192,5252,0.1
1 adult,9192,5299,0.1
1 adult,9204,5307,0.1
1 adult,9215,5313,0.1
1 adult,9215,5327,0.1
1 adult,9259,5342,0.1
1 adult,9300,5355,0.1
1 adult,9308,5367,0.11
1 adult,9308,5398,0.11
1 adult,9308,5412,0.11
1 adult,9308,5423,0.11
1 adult,9319,5444,0.11
1 adult,9319,5466,0.11
1 adult,9319,5531,0.11
1 adult,9400,5550,0.11
1 adult,9400,5562,0.11
1 adult,9470,5568,0.11
1 adult,9470,5571,0.11
1 adult,9515,5582,0.11
1 adult,9575,5602,0.11
1 adult,9575,5610,0.11
1 adult,9600,5617,0.11
1 adult,9600,5631,0.11
1 adult,9600,5641,0.11
1 adult,9600,5653,0.11
1 adult,9600,5658,0.11
1 adult,9600,5676,0.11
1 adult,9618,5695,0.11
1 adult,9629,5711,0.11
1 adult,9680,5723,0.11
1 adult,9700,5732,0.11
1 adult,9702,5742,0.11
1 adult,9733,5756,0.11
1 adult,9800,5762,0.11
1 adult,9805,5798,0.12
1 adult,9805,5819,0.12
1 adult,9805,5866,0.12
1 adult,9805,5896,0.12
1 adult,9891,5918,0.12
1 adult,9891,5940,0.12
1 adult,9891,5997,0.12
1 adult,9900,6013,0.12
1 adult,9900,6028,0.12
1 adult,9940,6050,0.12
1 adult,9940,6095,0.12
1 adult,9996,6134,0.12
1 adult,10000,6146,0.12
1 adult,10000,6160,0.12
1 adult,10009,6174,0.12
1 adult,10009,6191,0.12
1 adult,10100,6203,0.12
1 adult,10101,6216,0.12
1 adult,10111,6226,0.12
1 adult,10111,6241,0.12
1 adult,10135,6250,0.12
1 adult,10200,6260,0.12
1 adult,10213,6266,0.12
1 adult,10213,6279,0.12
1 adult,10213,6288,0.12
1 adult,10213,6306,0.12
1 adult,10213,6317,0.12
1 adult,10213,6333,0.13
1 adult,10251,6361,0.13
1 adult,10312,6376,0.13
1 adult,10315,6420,0.13
1 adult,10342,6456,0.13
1 adult,10342,6519,0.13
1 adult,10342,6542,0.13
1 adult,10342,6617,0.13
1 adult,10354,6655,0.13
1 adult,10354,6673,0.13
1 adult,10354,6689,0.13
1 adult,10354,6713,0.13
1 adult,10354,6733,0.13
1 adult,10354,6753,0.13
1 adult,10354,6760,0.13
1 adult,10354,6803,0.13
1 adult,10400,6809,0.13
1 adult,10417,6824,0.13
1 adult,10458,6843,0.13
1 adult,10458,6851,0.13
1 adult,10519,6859,0.13
1 adult,10522,6896,0.13
1 adult,10522,6909,0.13
1 adult,10561,6924,0.13
1 adult,10622,6936,0.13
1 adult,10627,6948,0.13
1 adult,10627,6970,0.13
1 adult,10627,6994,0.14
1 adult,10665,7008,0.14
1 adult,10724,7019,0.14
1 adult,10724,7035,0.14
1 adult,10724,7047,0.14
1 adult,10744,7076,0.14
1 adult,10756,7086,0.14
1 adult,10775,7098,0.14
1 adult,10838,7112,0.14
1 adult,10838,7119,0.14
1 adult,10900,7130,0.14
1 adult,10975,7143,0.14
1 adult,10975,7157,0.14
1 adult,11000,7175,0.14
1 adult,11014,7195,0.14
1 adult,11079,7202,0.14
1 adult,11169,7208,0.14
1 adult,11182,7218,0.14
1 adult,11182,7246,0.14
1 adult,11200,7327,0.14
1 adult,11234,7338,0.14
1 adult,11234,7352,0.14
1 adult,11234,7371,0.14
1 adult,11234,7397,0.14
1 adult,11259,7409,0.14
1 adult,11259,7422,0.14
1 adult,11286,7433,0.15
1 adult,11286,7441,0.15
1 adult,11286,7456,0.15
1 adult,11311,7479,0.15
1 adult,11336,7498,0.15
1 adult,11364,7539,0.15
1 adult,11364,7551,0.15
1 adult,11376,7572,0.15
1 adult,11376,7586,0.15
1 adult,11376,7597,0.15
1 adult,11400,7603,0.15
1 adult,11400,7623,0.15
1 adult,11469,7638,0.15
1 adult,11469,7646,0.15
1 adult,11493,7661,0.15
1 adult,11574,7707,0.15
1 adult,11574,7728,0.15
1 adult,11597,7735,0.15
1 adult,11643,7740,0.15
1 adult,11686,7755,0.15
1 adult,11785,7768,0.15
1 adult,11800,7785,0.15
1 adult,11835,7798,0.15
1 adult,11847,7808,0.15
1 adult,11847,7889,0.15
1 adult,11900,7899,0.15
1 adult,11907,7907,0.15
1 adult,11997,7915,0.16
1 adult,12000,7956,0.16
1 adult,12000,7978,0.16
1 adult,12000,7996,0.16
1 adult,12000,8020,0.16
1 adult,12000,8038,0.16
1 adult,12000,8049,0.16
1 adult,12000,8059,0.16
1 adult,12000,8095,0.16
1 adult,12100,8102,0.16
1 adult,12100,8110,0.16
1 adult,12100,8123,0.16
1 adult,12114,8142,0.16
1 adult,12203,8154,0.16
1 adult,12203,8172,0.16
1 adult,12206,8212,0.16
1 adult,12218,8219,0.16
1 adult,12228,8231,0.16
1 adult,12256,8241,0.16
1 adult,12256,8257,0.16
1 adult,12256,8268,0.16
1 adult,12256,8282,0.16
1 adult,12256,8307,0.16
1 adult,12256,8325,0.16
1 adult,12256,8334,0.16
1 adult,12256,8351,0.16
1 adult,12256,8363,0.16
1 adult,12256,8369,0.17
1 adult,12256,8404,0.17
