"","year","geo_description","type","subtype","estimate","success","trials","moe"
"1",2018,37,"Race Ethnicity","Black/AA, NH","46.5%","",""," 8.7%"
"2",2018,37,"Race Ethnicity","Hispanic/Latino","47.4%","","","13.0%"
"3",2018,37,"Race Ethnicity","Other Race","28.1%","",""," 7.0%"
"4",2018,37,"Race Ethnicity","White, NH","20.2%","",""," 4.0%"
