"","year","geo_description","type","subtype","estimate","success","trials","moe"
"1",2018,37,"Race Ethnicity","Black/AA, NH",10118,"","",15407.3603547043
"2",2018,37,"Race Ethnicity","Hispanic/Latino",19300,"","",24622.9326249313
"3",2018,37,"Race Ethnicity","Other Race",46500,"","",59378.4437604047
"4",2018,37,"Race Ethnicity","White, NH",129760,"","",27381.7273748339
