"","year","geo_description","type","subtype","estimate","success","trials","moe"
"1",2018,37,"Race Ethnicity","Black/AA, NH",0.292473238850041,"","",0.0872957475757393
"2",2018,37,"Race Ethnicity","Hispanic/Latino",0.332954203212639,"","",0.104520549668341
"3",2018,37,"Race Ethnicity","Other Race",0.201789723845216,"","",0.0998835945150603
"4",2018,37,"Race Ethnicity","White, NH",0.158286042466238,"","",0.0350235123876124
