"","year","geo_description","type","subtype","estimate","success","trials","moe"
"1",2018,37,"Race Ethnicity","Black/AA, NH","57.9%","",""," 8.2%"
"2",2018,37,"Race Ethnicity","Hispanic/Latino","55.6%","","","18.3%"
"3",2018,37,"Race Ethnicity","Other Race","37.3%","","","12.8%"
"4",2018,37,"Race Ethnicity","White, NH","35.5%","",""," 5.0%"
