FLPDYR,RECID,aftertax_income,c00100,c04800,eitc
2023,132,263.71,192.00,0.00,86.40
2023,133,192.00,192.00,0.00,14.69
2023,134,242.59,192.00,0.00,65.28
2023,135,254.11,192.00,0.00,76.80
2023,136,263.71,192.00,0.00,86.40
2023,137,204.00,204.00,0.00,15.61
2023,138,257.75,204.00,0.00,69.36
2023,139,269.99,204.00,0.00,81.60
2023,140,280.19,204.00,0.00,91.80
2023,141,204.00,204.00,0.00,15.61
2023,142,257.75,204.00,0.00,69.36
2023,143,269.99,204.00,0.00,81.60
2023,144,280.19,204.00,0.00,91.80
2023,145,216.00,216.00,0.00,16.52
2023,146,272.92,216.00,0.00,73.44
2023,147,285.88,216.00,0.00,86.40
2023,148,296.68,216.00,0.00,97.20
2023,149,216.00,216.00,0.00,16.52
2023,150,272.92,216.00,0.00,73.44
2023,151,285.88,216.00,0.00,86.40
2023,152,296.68,216.00,0.00,97.20
2023,153,228.00,228.00,0.00,17.44
2023,154,288.08,228.00,0.00,77.52
2023,155,301.76,228.00,0.00,91.20
2023,156,313.16,228.00,0.00,102.60
2023,157,228.00,228.00,0.00,17.44
2023,158,288.08,228.00,0.00,77.52
2023,159,301.76,228.00,0.00,91.20
2023,160,313.16,228.00,0.00,102.60
2023,161,240.00,240.00,0.00,18.36
2023,162,303.24,240.00,0.00,81.60
2023,163,317.64,240.00,0.00,96.00
2023,164,329.64,240.00,0.00,108.00
2023,165,240.00,240.00,0.00,18.36
2023,166,303.24,240.00,0.00,81.60
2023,167,317.64,240.00,0.00,96.00
2023,168,329.64,240.00,0.00,108.00
2023,169,252.00,252.00,0.00,19.28
2023,170,318.40,252.00,0.00,85.68
2023,171,333.52,252.00,0.00,100.80
2023,172,346.12,252.00,0.00,113.40
2023,173,252.00,252.00,0.00,19.28
2023,174,318.40,252.00,0.00,85.68
2023,175,333.52,252.00,0.00,100.80
2023,176,346.12,252.00,0.00,113.40
2023,177,264.00,264.00,0.00,20.20
2023,178,333.56,264.00,0.00,89.76
2023,179,349.40,264.00,0.00,105.60
2023,180,362.60,264.00,0.00,118.80
2023,181,264.00,264.00,0.00,20.20
2023,182,333.56,264.00,0.00,89.76
2023,183,349.40,264.00,0.00,105.60
2023,184,362.60,264.00,0.00,118.80
2023,185,276.00,276.00,0.00,21.11
2023,186,348.73,276.00,0.00,93.84
2023,187,365.29,276.00,0.00,110.40
2023,188,379.09,276.00,0.00,124.20
2023,189,276.00,276.00,0.00,21.11
2023,190,348.73,276.00,0.00,93.84
2023,191,365.29,276.00,0.00,110.40
2023,192,379.09,276.00,0.00,124.20
2023,193,288.00,288.00,0.00,22.03
2023,194,363.89,288.00,0.00,97.92
2023,195,381.17,288.00,0.00,115.20
2023,196,395.57,288.00,0.00,129.60
2023,197,288.00,288.00,0.00,22.03
2023,198,363.89,288.00,0.00,97.92
2023,199,381.17,288.00,0.00,115.20
2023,200,395.57,288.00,0.00,129.60
2023,201,300.00,300.00,0.00,22.95
2023,202,379.05,300.00,0.00,102.00
2023,203,397.05,300.00,0.00,120.00
2023,204,412.05,300.00,0.00,135.00
2023,205,300.00,300.00,0.00,22.95
2023,206,379.05,300.00,0.00,102.00
2023,207,397.05,300.00,0.00,120.00
2023,208,412.05,300.00,0.00,135.00
2023,209,312.00,312.00,0.00,23.87
2023,210,394.21,312.00,0.00,106.08
2023,211,412.93,312.00,0.00,124.80
2023,212,428.53,312.00,0.00,140.40
2023,213,312.00,312.00,0.00,23.87
2023,214,394.21,312.00,0.00,106.08
2023,215,412.93,312.00,0.00,124.80
2023,216,428.53,312.00,0.00,140.40
2023,217,324.00,324.00,0.00,24.79
2023,218,409.37,324.00,0.00,110.16
2023,219,428.81,324.00,0.00,129.60
2023,220,445.01,324.00,0.00,145.80
2023,221,324.00,324.00,0.00,24.79
2023,222,409.37,324.00,0.00,110.16
2023,223,428.81,324.00,0.00,129.60
2023,224,445.01,324.00,0.00,145.80
2023,225,336.00,336.00,0.00,25.70
2023,226,424.54,336.00,0.00,114.24
2023,227,444.70,336.00,0.00,134.40
2023,228,461.50,336.00,0.00,151.20
2023,229,336.00,336.00,0.00,25.70
2023,230,424.54,336.00,0.00,114.24
2023,231,444.70,336.00,0.00,134.40
2023,232,461.50,336.00,0.00,151.20
2023,233,348.00,348.00,0.00,26.62
2023,234,439.70,348.00,0.00,118.32
2023,235,460.58,348.00,0.00,139.20
2023,236,477.98,348.00,0.00,156.60
2023,237,348.00,348.00,0.00,26.62
2023,238,439.70,348.00,0.00,118.32
2023,239,460.58,348.00,0.00,139.20
2023,240,477.98,348.00,0.00,156.60
2023,241,360.00,360.00,0.00,27.54
2023,242,454.86,360.00,0.00,122.40
2023,243,476.46,360.00,0.00,144.00
2023,244,494.46,360.00,0.00,162.00
2023,245,360.00,360.00,0.00,27.54
2023,246,454.86,360.00,0.00,122.40
2023,247,476.46,360.00,0.00,144.00
2023,248,494.46,360.00,0.00,162.00
2023,249,372.00,372.00,0.00,28.46
2023,250,470.02,372.00,0.00,126.48
2023,251,492.34,372.00,0.00,148.80
2023,252,510.94,372.00,0.00,167.40
2023,253,372.00,372.00,0.00,28.46
2023,254,470.02,372.00,0.00,126.48
2023,255,492.34,372.00,0.00,148.80
2023,256,510.94,372.00,0.00,167.40
2023,257,384.00,384.00,0.00,29.38
2023,258,485.18,384.00,0.00,130.56
2023,259,508.22,384.00,0.00,153.60
2023,260,527.42,384.00,0.00,172.80
2023,261,384.00,384.00,0.00,29.38
2023,262,485.18,384.00,0.00,130.56
2023,263,508.22,384.00,0.00,153.60
2023,264,527.42,384.00,0.00,172.80
2023,265,396.00,396.00,0.00,30.29
2023,266,500.35,396.00,0.00,134.64
2023,267,524.11,396.00,0.00,158.40
2023,268,543.91,396.00,0.00,178.20
2023,269,396.00,396.00,0.00,30.29
2023,270,500.35,396.00,0.00,134.64
2023,271,524.11,396.00,0.00,158.40
2023,272,543.91,396.00,0.00,178.20
2023,273,408.00,408.00,0.00,31.21
2023,274,515.51,408.00,0.00,138.72
2023,275,539.99,408.00,0.00,163.20
2023,276,560.39,408.00,0.00,183.60
2023,277,408.00,408.00,0.00,31.21
2023,278,515.51,408.00,0.00,138.72
2023,279,539.99,408.00,0.00,163.20
2023,280,560.39,408.00,0.00,183.60
2023,281,420.00,420.00,0.00,32.13
2023,282,530.67,420.00,0.00,142.80
2023,283,555.87,420.00,0.00,168.00
2023,284,576.87,420.00,0.00,189.00
2023,285,420.00,420.00,0.00,32.13
2023,286,530.67,420.00,0.00,142.80
2023,287,555.87,420.00,0.00,168.00
2023,288,576.87,420.00,0.00,189.00
2023,289,432.00,432.00,0.00,33.05
2023,290,545.83,432.00,0.00,146.88
2023,291,571.75,432.00,0.00,172.80
2023,292,593.35,432.00,0.00,194.40
