FLPDYR,RECID,aftertax_income,c00100,c04800,eitc
2019,127,2382.30,1800.00,0.00,720.00
2019,128,2472.30,1800.00,0.00,810.00
2019,129,1920.00,1920.00,0.00,146.88
2019,130,2425.92,1920.00,0.00,652.80
2019,131,2541.12,1920.00,0.00,768.00
2019,132,2637.12,1920.00,0.00,864.00
2019,133,1920.00,1920.00,0.00,146.88
2019,134,2425.92,1920.00,0.00,652.80
2019,135,2541.12,1920.00,0.00,768.00
2019,136,2637.12,1920.00,0.00,864.00
2019,137,2040.00,2040.00,0.00,156.06
2019,138,2577.54,2040.00,0.00,693.60
2019,139,2699.94,2040.00,0.00,816.00
2019,140,2801.94,2040.00,0.00,918.00
2019,141,2040.00,2040.00,0.00,156.06
2019,142,2577.54,2040.00,0.00,693.60
2019,143,2699.94,2040.00,0.00,816.00
2019,144,2801.94,2040.00,0.00,918.00
2019,145,2160.00,2160.00,0.00,165.24
2019,146,2729.16,2160.00,0.00,734.40
2019,147,2858.76,2160.00,0.00,864.00
2019,148,2966.76,2160.00,0.00,972.00
2019,149,2160.00,2160.00,0.00,165.24
2019,150,2729.16,2160.00,0.00,734.40
2019,151,2858.76,2160.00,0.00,864.00
2019,152,2966.76,2160.00,0.00,972.00
2019,153,2280.00,2280.00,0.00,174.42
2019,154,2880.78,2280.00,0.00,775.20
2019,155,3017.58,2280.00,0.00,912.00
2019,156,3131.58,2280.00,0.00,1026.00
2019,157,2280.00,2280.00,0.00,174.42
2019,158,2880.78,2280.00,0.00,775.20
2019,159,3017.58,2280.00,0.00,912.00
2019,160,3131.58,2280.00,0.00,1026.00
2019,161,2400.00,2400.00,0.00,183.60
2019,162,3032.40,2400.00,0.00,816.00
2019,163,3176.40,2400.00,0.00,960.00
2019,164,3296.40,2400.00,0.00,1080.00
2019,165,2400.00,2400.00,0.00,183.60
2019,166,3032.40,2400.00,0.00,816.00
2019,167,3176.40,2400.00,0.00,960.00
2019,168,3296.40,2400.00,0.00,1080.00
2019,169,2520.00,2520.00,0.00,192.78
2019,170,3184.02,2520.00,0.00,856.80
2019,171,3335.22,2520.00,0.00,1008.00
2019,172,3461.22,2520.00,0.00,1134.00
2019,173,2520.00,2520.00,0.00,192.78
2019,174,3184.02,2520.00,0.00,856.80
2019,175,3335.22,2520.00,0.00,1008.00
2019,176,3461.22,2520.00,0.00,1134.00
2019,177,2640.00,2640.00,0.00,201.96
2019,178,3335.64,2640.00,0.00,897.60
2019,179,3494.04,2640.00,0.00,1056.00
2019,180,3626.04,2640.00,0.00,1188.00
2019,181,2640.00,2640.00,0.00,201.96
2019,182,3335.64,2640.00,0.00,897.60
2019,183,3494.04,2640.00,0.00,1056.00
2019,184,3626.04,2640.00,0.00,1188.00
2019,185,2760.00,2760.00,0.00,211.14
2019,186,3487.26,2760.00,0.00,938.40
2019,187,3652.86,2760.00,0.00,1104.00
2019,188,3790.86,2760.00,0.00,1242.00
2019,189,2760.00,2760.00,0.00,211.14
2019,190,3487.26,2760.00,0.00,938.40
2019,191,3652.86,2760.00,0.00,1104.00
2019,192,3790.86,2760.00,0.00,1242.00
2019,193,2880.00,2880.00,0.00,220.32
2019,194,3638.88,2880.00,0.00,979.20
2019,195,3811.68,2880.00,0.00,1152.00
2019,196,3955.68,2880.00,0.00,1296.00
2019,197,2880.00,2880.00,0.00,220.32
2019,198,3638.88,2880.00,0.00,979.20
2019,199,3811.68,2880.00,0.00,1152.00
2019,200,3955.68,2880.00,0.00,1296.00
2019,201,3000.00,3000.00,0.00,229.50
2019,202,3790.50,3000.00,0.00,1020.00
2019,203,3970.50,3000.00,0.00,1200.00
2019,204,4120.50,3000.00,0.00,1350.00
2019,205,3000.00,3000.00,0.00,229.50
2019,206,3790.50,3000.00,0.00,1020.00
2019,207,3970.50,3000.00,0.00,1200.00
