FLPDYR,RECID,aftertax_income,c00100,c04800,eitc
2018,127,2382.30,1800.00,0.00,720.00
2018,128,2472.30,1800.00,0.00,810.00
2018,129,1920.00,1920.00,0.00,146.88
2018,130,2425.92,1920.00,0.00,652.80
2018,131,2541.12,1920.00,0.00,768.00
2018,132,2637.12,1920.00,0.00,864.00
2018,133,1920.00,1920.00,0.00,146.88
2018,134,2425.92,1920.00,0.00,652.80
2018,135,2541.12,1920.00,0.00,768.00
2018,136,2637.12,1920.00,0.00,864.00
2018,137,2040.00,2040.00,0.00,156.06
2018,138,2577.54,2040.00,0.00,693.60
2018,139,2699.94,2040.00,0.00,816.00
2018,140,2801.94,2040.00,0.00,918.00
2018,141,2040.00,2040.00,0.00,156.06
2018,142,2577.54,2040.00,0.00,693.60
2018,143,2699.94,2040.00,0.00,816.00
2018,144,2801.94,2040.00,0.00,918.00
2018,145,2160.00,2160.00,0.00,165.24
2018,146,2729.16,2160.00,0.00,734.40
2018,147,2858.76,2160.00,0.00,864.00
2018,148,2966.76,2160.00,0.00,972.00
2018,149,2160.00,2160.00,0.00,165.24
2018,150,2729.16,2160.00,0.00,734.40
2018,151,2858.76,2160.00,0.00,864.00
2018,152,2966.76,2160.00,0.00,972.00
2018,153,2280.00,2280.00,0.00,174.42
2018,154,2880.78,2280.00,0.00,775.20
2018,155,3017.58,2280.00,0.00,912.00
2018,156,3131.58,2280.00,0.00,1026.00
2018,157,2280.00,2280.00,0.00,174.42
2018,158,2880.78,2280.00,0.00,775.20
2018,159,3017.58,2280.00,0.00,912.00
2018,160,3131.58,2280.00,0.00,1026.00
2018,161,2400.00,2400.00,0.00,183.60
2018,162,3032.40,2400.00,0.00,816.00
2018,163,3176.40,2400.00,0.00,960.00
2018,164,3296.40,2400.00,0.00,1080.00
2018,165,2400.00,2400.00,0.00,183.60
2018,166,3032.40,2400.00,0.00,816.00
2018,167,3176.40,2400.00,0.00,960.00
2018,168,3296.40,2400.00,0.00,1080.00
2018,169,2520.00,2520.00,0.00,192.78
2018,170,3184.02,2520.00,0.00,856.80
2018,171,3335.22,2520.00,0.00,1008.00
2018,172,3461.22,2520.00,0.00,1134.00
2018,173,2520.00,2520.00,0.00,192.78
2018,174,3184.02,2520.00,0.00,856.80
2018,175,3335.22,2520.00,0.00,1008.00
2018,176,3461.22,2520.00,0.00,1134.00
2018,177,2640.00,2640.00,0.00,201.96
2018,178,3335.64,2640.00,0.00,897.60
2018,179,3494.04,2640.00,0.00,1056.00
2018,180,3626.04,2640.00,0.00,1188.00
2018,181,2640.00,2640.00,0.00,201.96
2018,182,3335.64,2640.00,0.00,897.60
2018,183,3494.04,2640.00,0.00,1056.00
2018,184,3626.04,2640.00,0.00,1188.00
2018,185,2760.00,2760.00,0.00,211.14
2018,186,3487.26,2760.00,0.00,938.40
2018,187,3652.86,2760.00,0.00,1104.00
2018,188,3790.86,2760.00,0.00,1242.00
2018,189,2760.00,2760.00,0.00,211.14
2018,190,3487.26,2760.00,0.00,938.40
2018,191,3652.86,2760.00,0.00,1104.00
2018,192,3790.86,2760.00,0.00,1242.00
2018,193,2880.00,2880.00,0.00,220.32
2018,194,3638.88,2880.00,0.00,979.20
2018,195,3811.68,2880.00,0.00,1152.00
2018,196,3955.68,2880.00,0.00,1296.00
2018,197,2880.00,2880.00,0.00,220.32
2018,198,3638.88,2880.00,0.00,979.20
2018,199,3811.68,2880.00,0.00,1152.00
2018,200,3955.68,2880.00,0.00,1296.00
2018,201,3000.00,3000.00,0.00,229.50
2018,202,3790.50,3000.00,0.00,1020.00
2018,203,3970.50,3000.00,0.00,1200.00
2018,204,4120.50,3000.00,0.00,1350.00
2018,205,3000.00,3000.00,0.00,229.50
2018,206,3790.50,3000.00,0.00,1020.00
