size,income,cum_sum,grouping
1,17771,11012,group
1,17873,11028,group
1,17888,11052,group
1,17891,11087,group
1,17900,11101,group
1,17913,11136,group
1,17975,11159,group
1,18000,11241,group
1,18098,11312,group
1,18100,11322,group
1,18179,11379,group
1,18202,11409,group
1,18308,11437,group
1,18383,11475,group
1,18486,11496,group
1,18500,11556,group
1,18600,11590,group
1,18615,11634,group
1,18637,11680,group
1,18690,11693,group
1,18741,11719,group
1,18835,11737,group
1,18894,11810,group
1,18940,11849,group
1,19000,11862,group
1,19052,11877,group
1,19132,11898,group
1,19300,11916,group
1,19405,11928,group
1,19443,11972,group
1,19466,12008,group
1,19609,12033,group
1,19673,12037,group
1,19782,12048,group
1,19800,12059,group
1,19856,12082,group
1,19984,12090,group
1,19992,12176,group
1,20000,12330,group
1,20063,12343,group
1,20076,12365,group
1,20108,12379,group
1,20109,12394,group
1,20202,12429,group
1,20413,12473,group
1,20426,12535,group
1,20477,12542,group
1,20501,12557,group
1,20518,12659,group
1,20528,12667,group
1,20684,12760,group
1,20708,12816,group
1,20729,12827,group
1,20750,12849,group
1,20800,12868,group
1,20835,12880,group
1,20994,12893,group
1,21000,12985,group
1,21019,12991,group
1,21044,13065,group
1,21100,13088,group
1,21255,13104,group
1,21360,13124,group
1,21392,13137,group
1,21408,13164,group
1,21511,13284,group
1,21537,13330,group
1,21600,13351,group
1,21703,13366,group
1,21718,13443,group
1,21744,13503,group
1,21847,13550,group
1,21958,13580,group
1,22235,13611,group
1,22261,13617,group
1,22469,13673,group
1,22517,13690,group
1,22581,13709,group
1,22693,13731,group
1,22728,13743,group
1,22752,13776,group
1,22793,13783,group
1,22800,13802,group
1,22938,13819,group
1,22970,13832,group
1,22979,13945,group
1,23000,13985,group
1,23100,13997,group
1,23149,14041,group
1,23193,14054,group
1,23285,14074,group
1,23286,14097,group
1,23297,14130,group
1,23464,14198,group
1,23500,14212,group
1,23570,14234,group
1,23600,14247,group
1,23694,14262,group
1,23783,14285,group
1,23786,14314,group
1,23815,14354,group
1,23939,14371,group
1,23970,14400,group
1,24001,14452,group
1,24100,14464,group
1,24144,14471,group
1,24201,14503,group
1,24205,14534,group
1,24307,14555,group
1,24332,14628,group
1,24500,14688,group
1,24511,14883,group
1,24600,14901,group
1,24613,14908,group
1,24700,14929,group
1,24721,14941,group
1,24727,14955,group
1,24800,14968,group
1,24820,15002,group
1,24850,15064,group
1,24920,15078,group
1,24971,15090,group
1,25000,15126,group
1,25020,15190,group
1,25100,15206,group
1,25124,15246,group
1,25148,15272,group
1,25185,15283,group
1,25200,15302,group
1,25253,15315,group
1,25264,15326,group
1,25300,15349,group
1,25500,15415,group
1,25520,15425,group
1,25533,15555,group
1,25544,15567,group
1,25575,15594,group
1,25648,15607,group
1,25855,15712,group
1,25885,15741,group
1,25927,15750,group
1,26000,15877,group
1,26043,15903,group
1,26092,15946,group
1,26145,15961,group
1,26248,15985,group
1,26301,15995,group
1,26305,16025,group
1,26411,16105,group
1,26452,16125,group
